  1997 Jan- 6 to Jan-10,
  1998 Jul-27 to Jul-31,1.99
  1998 Jul-27 to Jul-31,1.95
  1998 Jul-27 to Jul-31,1.85
  1998 Aug- 3 to Aug- 7,1.84
  1998 Aug- 3 to Aug- 7,1.90
  1998 Aug- 3 to Aug- 7,1.91
  1998 Aug- 3 to Aug- 7,1.85
  1998 Aug- 3 to Aug- 7,1.82
  1998 Aug-10 to Aug-14,1.87
  1998 Aug-10 to Aug-14,1.87
  1998 Aug-10 to Aug-14,1.85
  1998 Aug-10 to Aug-14,1.83
  1998 Aug-10 to Aug-14,1.83
  1998 Aug-17 to Aug-21,1.93
  1998 Aug-17 to Aug-21,1.94
  1998 Aug-17 to Aug-21,1.96
  1998 Aug-17 to Aug-21,1.90
  1998 Aug-17 to Aug-21,1.93
  1998 Aug-24 to Aug-28,1.90
  1998 Aug-24 to Aug-28,1.89
  1998 Aug-24 to Aug-28,1.83
  1998 Aug-24 to Aug-28,1.76
  1998 Aug-24 to Aug-28,1.66
  1998 Aug-31 to Sep- 4,1.61
  1998 Aug-31 to Sep- 4,1.84
  1998 Aug-31 to Sep- 4,1.72
  1998 Aug-31 to Sep- 4,1.71
  1998 Aug-31 to Sep- 4,1.71
  1998 Sep- 7 to Sep-11,
  1998 Sep- 7 to Sep-11,1.81
  1998 Sep- 7 to Sep-11,1.78
  1998 Sep- 7 to Sep-11,1.88
  1998 Sep- 7 to Sep-11,1.86
  1998 Sep-14 to Sep-18,1.86
  1998 Sep-14 to Sep-18,1.94
  1998 Sep-14 to Sep-18,2.15
  1998 Sep-14 to Sep-18,2.12
  1998 Sep-14 to Sep-18,2.27
  1998 Sep-21 to Sep-25,2.18
  1998 Sep-21 to Sep-25,2.29
  1998 Sep-21 to Sep-25,2.19
  1998 Sep-21 to Sep-25,2.17
  1998 Sep-21 to Sep-25,2.38
  1998 Sep-28 to Oct- 2,2.23
  1998 Sep-28 to Oct- 2,2.06
  1998 Sep-28 to Oct- 2,2.22
  1998 Sep-28 to Oct- 2,2.33
  1998 Sep-28 to Oct- 2,2.14
  1998 Oct- 5 to Oct- 9,2.09
  1998 Oct- 5 to Oct- 9,2.01
  1998 Oct- 5 to Oct- 9,2.05
  1998 Oct- 5 to Oct- 9,2.02
  1998 Oct- 5 to Oct- 9,1.80
  1998 Oct-12 to Oct-16,1.75
  1998 Oct-12 to Oct-16,1.70
  1998 Oct-12 to Oct-16,1.80
  1998 Oct-12 to Oct-16,1.75
  1998 Oct-12 to Oct-16,1.64
  1998 Oct-19 to Oct-23,1.74
  1998 Oct-19 to Oct-23,1.95
  1998 Oct-19 to Oct-23,2.04
  1998 Oct-19 to Oct-23,1.95
  1998 Oct-19 to Oct-23,1.84
  1998 Oct-26 to Oct-30,1.92
  1998 Oct-26 to Oct-30,1.85
  1998 Oct-26 to Oct-30,1.70
  1998 Oct-26 to Oct-30,2.00
  1998 Oct-26 to Oct-30,2.00
  1998 Nov- 2 to Nov- 6,1.84
  1998 Nov- 2 to Nov- 6,2.10
  1998 Nov- 2 to Nov- 6,2.11
  1998 Nov- 2 to Nov- 6,2.26
  1998 Nov- 2 to Nov- 6,2.25
  1998 Nov- 9 to Nov-13,2.28
  1998 Nov- 9 to Nov-13,2.30
  1998 Nov- 9 to Nov-13,2.33
  1998 Nov- 9 to Nov-13,2.21
  1998 Nov- 9 to Nov-13,2.21
  1998 Nov-16 to Nov-20,2.19
  1998 Nov-16 to Nov-20,2.12
  1998 Nov-16 to Nov-20,2.10
  1998 Nov-16 to Nov-20,2.10
  1998 Nov-16 to Nov-20,2.07
  1998 Nov-23 to Nov-27,2.02
  1998 Nov-23 to Nov-27,2.08
  1998 Nov-23 to Nov-27,2.13
  1998 Nov-23 to Nov-27,
  1998 Nov-23 to Nov-27,
  1998 Nov-30 to Dec- 4,1.63
  1998 Nov-30 to Dec- 4,1.41
  1998 Nov-30 to Dec- 4,1.40
  1998 Nov-30 to Dec- 4,1.21
  1998 Nov-30 to Dec- 4,1.05
  1998 Dec- 7 to Dec-11,1.44
  1998 Dec- 7 to Dec-11,1.79
  1998 Dec- 7 to Dec-11,1.64
  1998 Dec- 7 to Dec-11,1.59
  1998 Dec- 7 to Dec-11,1.55
  1998 Dec-14 to Dec-18,1.80
  1998 Dec-14 to Dec-18,1.86
  1998 Dec-14 to Dec-18,1.95
  1998 Dec-14 to Dec-18,2.02
  1998 Dec-14 to Dec-18,2.02
