  1997 Jan- 6 to Jan-10, 
  2014 Apr-28 to May- 2,4.72
  2014 Apr-28 to May- 2,4.78
  2014 Apr-28 to May- 2,4.79
  2014 Apr-28 to May- 2,4.79
  2014 Apr-28 to May- 2,4.73
  2014 May- 5 to May- 9,4.73
  2014 May- 5 to May- 9,4.80
  2014 May- 5 to May- 9,4.82
  2014 May- 5 to May- 9,4.77
  2014 May- 5 to May- 9,4.59
  2014 May-12 to May-16,4.52
  2014 May-12 to May-16,4.47
  2014 May-12 to May-16,4.47
  2014 May-12 to May-16,4.42
  2014 May-12 to May-16,4.42
  2014 May-19 to May-23,4.54
  2014 May-19 to May-23,4.53
  2014 May-19 to May-23,4.57
  2014 May-19 to May-23,4.57
  2014 May-19 to May-23,4.40
  2014 May-26 to May-30,
  2014 May-26 to May-30,4.40
  2014 May-26 to May-30,4.56
  2014 May-26 to May-30,4.63
  2014 May-26 to May-30,4.49
  2014 Jun- 2 to Jun- 6,4.49
  2014 Jun- 2 to Jun- 6,4.62
  2014 Jun- 2 to Jun- 6,4.62
  2014 Jun- 2 to Jun- 6,4.66
  2014 Jun- 2 to Jun- 6,4.66
  2014 Jun- 9 to Jun-13,4.67
  2014 Jun- 9 to Jun-13,4.67
  2014 Jun- 9 to Jun-13,4.51
  2014 Jun- 9 to Jun-13,4.51
  2014 Jun- 9 to Jun-13,4.70
  2014 Jun-16 to Jun-20,4.71
  2014 Jun-16 to Jun-20,4.68
  2014 Jun-16 to Jun-20,4.68
  2014 Jun-16 to Jun-20,4.67
  2014 Jun-16 to Jun-20,4.53
  2014 Jun-23 to Jun-27,4.53
  2014 Jun-23 to Jun-27,4.49
  2014 Jun-23 to Jun-27,4.58
  2014 Jun-23 to Jun-27,4.58
  2014 Jun-23 to Jun-27,4.39
  2014 Jun-30 to Jul- 4,4.39
  2014 Jun-30 to Jul- 4,4.47
  2014 Jun-30 to Jul- 4,4.47
  2014 Jun-30 to Jul- 4,4.31
  2014 Jun-30 to Jul- 4,
  2014 Jul- 7 to Jul-11,4.31
  2014 Jul- 7 to Jul-11,4.18
  2014 Jul- 7 to Jul-11,4.17
  2014 Jul- 7 to Jul-11,4.15
  2014 Jul- 7 to Jul-11,4.13
  2014 Jul-14 to Jul-18,4.13
  2014 Jul-14 to Jul-18,4.13
  2014 Jul-14 to Jul-18,4.16
  2014 Jul-14 to Jul-18,4.04
  2014 Jul-14 to Jul-18,4.08
  2014 Jul-21 to Jul-25,3.87
  2014 Jul-21 to Jul-25,3.81
  2014 Jul-21 to Jul-25,3.83
  2014 Jul-21 to Jul-25,3.83
  2014 Jul-21 to Jul-25,3.86
  2014 Jul-28 to Aug- 1,3.84
  2014 Jul-28 to Aug- 1,3.79
  2014 Jul-28 to Aug- 1,3.78
  2014 Jul-28 to Aug- 1,3.78
  2014 Jul-28 to Aug- 1,3.77
  2014 Aug- 4 to Aug- 8,3.87
  2014 Aug- 4 to Aug- 8,3.87
  2014 Aug- 4 to Aug- 8,3.92
  2014 Aug- 4 to Aug- 8,3.99
  2014 Aug- 4 to Aug- 8,3.94
  2014 Aug-11 to Aug-15,4.00
  2014 Aug-11 to Aug-15,3.94
  2014 Aug-11 to Aug-15,3.90
  2014 Aug-11 to Aug-15,3.85
  2014 Aug-11 to Aug-15,3.80
  2014 Aug-18 to Aug-22,3.78
  2014 Aug-18 to Aug-22,3.84
  2014 Aug-18 to Aug-22,3.88
  2014 Aug-18 to Aug-22,3.88
  2014 Aug-18 to Aug-22,3.88
  2014 Aug-25 to Aug-29,3.94
  2014 Aug-25 to Aug-29,3.99
  2014 Aug-25 to Aug-29,4.02
  2014 Aug-25 to Aug-29,4.06
  2014 Aug-25 to Aug-29,4.04
  2014 Sep- 1 to Sep- 5,
  2014 Sep- 1 to Sep- 5,4.01
  2014 Sep- 1 to Sep- 5,3.94
  2014 Sep- 1 to Sep- 5,3.91
  2014 Sep- 1 to Sep- 5,3.86
  2014 Sep- 8 to Sep-12,3.86
  2014 Sep- 8 to Sep-12,3.93
  2014 Sep- 8 to Sep-12,3.98
  2014 Sep- 8 to Sep-12,3.94
  2014 Sep- 8 to Sep-12,3.82
  2014 Sep-15 to Sep-19,3.92
  2014 Sep-15 to Sep-19,3.85
  2014 Sep-15 to Sep-19,3.97
  2014 Sep-15 to Sep-19,3.99
  2014 Sep-15 to Sep-19,3.99
  2014 Sep-22 to Sep-26,3.88
  2014 Sep-22 to Sep-26,3.90
  2014 Sep-22 to Sep-26,3.84
  2014 Sep-22 to Sep-26,3.89
  2014 Sep-22 to Sep-26,3.89
  2014 Sep-29 to Oct- 3,3.89
  2014 Sep-29 to Oct- 3,4.14
  2014 Sep-29 to Oct- 3,4.14
  2014 Sep-29 to Oct- 3,4.00
  2014 Sep-29 to Oct- 3,3.94
  2014 Oct- 6 to Oct-10,3.89
  2014 Oct- 6 to Oct-10,3.88
  2014 Oct- 6 to Oct-10,3.88
  2014 Oct- 6 to Oct-10,3.87
  2014 Oct- 6 to Oct-10,3.86
  2014 Oct-13 to Oct-17,3.87
  2014 Oct-13 to Oct-17,3.91
  2014 Oct-13 to Oct-17,3.81
  2014 Oct-13 to Oct-17,3.80
  2014 Oct-13 to Oct-17,3.73
  2014 Oct-20 to Oct-24,3.69
  2014 Oct-20 to Oct-24,3.62
  2014 Oct-20 to Oct-24,3.69
  2014 Oct-20 to Oct-24,3.60
  2014 Oct-20 to Oct-24,3.53
  2014 Oct-27 to Oct-31,3.56
  2014 Oct-27 to Oct-31,3.53
  2014 Oct-27 to Oct-31,3.60
  2014 Oct-27 to Oct-31,3.76
  2014 Oct-27 to Oct-31,3.82
  2014 Nov- 3 to Nov- 7,3.82
  2014 Nov- 3 to Nov- 7,3.67
  2014 Nov- 3 to Nov- 7,3.83
  2014 Nov- 3 to Nov- 7,3.92
  2014 Nov- 3 to Nov- 7,3.92
  2014 Nov-10 to Nov-14,4.18
  2014 Nov-10 to Nov-14,4.18
  2014 Nov-10 to Nov-14,4.20
  2014 Nov-10 to Nov-14,4.20
  2014 Nov-10 to Nov-14,4.05
  2014 Nov-17 to Nov-21,4.26
  2014 Nov-17 to Nov-21,4.33
  2014 Nov-17 to Nov-21,4.41
  2014 Nov-17 to Nov-21,4.41
  2014 Nov-17 to Nov-21,4.32
  2014 Nov-24 to Nov-28,4.09
  2014 Nov-24 to Nov-28,4.09
  2014 Nov-24 to Nov-28,4.15
  2014 Nov-24 to Nov-28,
  2014 Nov-24 to Nov-28,4.30
  2014 Dec- 1 to Dec- 5,4.30
  2014 Dec- 1 to Dec- 5,3.77
  2014 Dec- 1 to Dec- 5,3.63
  2014 Dec- 1 to Dec- 5,3.63
  2014 Dec- 1 to Dec- 5,3.42
  2014 Dec- 8 to Dec-12,3.42
  2014 Dec- 8 to Dec-12,3.63
  2014 Dec- 8 to Dec-12,3.65
  2014 Dec- 8 to Dec-12,3.68
  2014 Dec- 8 to Dec-12,3.91
  2014 Dec-15 to Dec-19,3.72
  2014 Dec-15 to Dec-19,3.58
  2014 Dec-15 to Dec-19,3.72
  2014 Dec-15 to Dec-19,3.71
  2014 Dec-15 to Dec-19,3.71
  2014 Dec-22 to Dec-26,3.05
  2014 Dec-22 to Dec-26,2.99
  2014 Dec-22 to Dec-26,2.99
  2014 Dec-22 to Dec-26,
  2014 Dec-22 to Dec-26,2.74
  2014 Dec-29 to Jan- 2,3.07
  2014 Dec-29 to Jan- 2,3.14
  2014 Dec-29 to Jan- 2,3.14
  2014 Dec-29 to Jan- 2,
  2014 Dec-29 to Jan- 2,3.01
  2015 Jan- 5 to Jan- 9,3.22
  2015 Jan- 5 to Jan- 9,2.98
  2015 Jan- 5 to Jan- 9,3.08
  2015 Jan- 5 to Jan- 9,2.92
  2015 Jan- 5 to Jan- 9,2.96
  2015 Jan-12 to Jan-16,2.90
  2015 Jan-12 to Jan-16,2.92
  2015 Jan-12 to Jan-16,3.15
  2015 Jan-12 to Jan-16,3.32
  2015 Jan-12 to Jan-16,3.11
  2015 Jan-19 to Jan-23,
  2015 Jan-19 to Jan-23,2.94
  2015 Jan-19 to Jan-23,2.94
  2015 Jan-19 to Jan-23,2.95
  2015 Jan-19 to Jan-23,2.96
  2015 Jan-26 to Jan-30,2.92
  2015 Jan-26 to Jan-30,2.96
  2015 Jan-26 to Jan-30,2.89
  2015 Jan-26 to Jan-30,2.88
  2015 Jan-26 to Jan-30,2.88
  2015 Feb- 2 to Feb- 6,2.88
  2015 Feb- 2 to Feb- 6,2.67
  2015 Feb- 2 to Feb- 6,2.73
  2015 Feb- 2 to Feb- 6,2.66
  2015 Feb- 2 to Feb- 6,2.66
  2015 Feb- 9 to Feb-13,2.62
  2015 Feb- 9 to Feb-13,2.67
  2015 Feb- 9 to Feb-13,2.86
  2015 Feb- 9 to Feb-13,2.86
  2015 Feb- 9 to Feb-13,2.75
  2015 Feb-16 to Feb-20,
  2015 Feb-16 to Feb-20,2.75
  2015 Feb-16 to Feb-20,2.92
  2015 Feb-16 to Feb-20,2.92
  2015 Feb-16 to Feb-20,3.02
  2015 Feb-23 to Feb-27,3.22
  2015 Feb-23 to Feb-27,3.22
  2015 Feb-23 to Feb-27,3.21
  2015 Feb-23 to Feb-27,3.21
  2015 Feb-23 to Feb-27,2.79
  2015 Mar- 2 to Mar- 6,2.79
  2015 Mar- 2 to Mar- 6,3.00
  2015 Mar- 2 to Mar- 6,3.27
  2015 Mar- 2 to Mar- 6,3.27
  2015 Mar- 2 to Mar- 6,2.89
  2015 Mar- 9 to Mar-13,2.75
  2015 Mar- 9 to Mar-13,2.76
  2015 Mar- 9 to Mar-13,2.76
  2015 Mar- 9 to Mar-13,2.82
  2015 Mar- 9 to Mar-13,2.72
  2015 Mar-16 to Mar-20,2.68
  2015 Mar-16 to Mar-20,2.82
  2015 Mar-16 to Mar-20,2.80
  2015 Mar-16 to Mar-20,2.86
  2015 Mar-16 to Mar-20,2.86
  2015 Mar-23 to Mar-27,2.72
  2015 Mar-23 to Mar-27,2.79
  2015 Mar-23 to Mar-27,2.77
  2015 Mar-23 to Mar-27,2.77
  2015 Mar-23 to Mar-27,2.89
  2015 Mar-30 to Apr- 3,2.64
  2015 Mar-30 to Apr- 3,2.65
  2015 Mar-30 to Apr- 3,2.62
  2015 Mar-30 to Apr- 3,2.63
  2015 Mar-30 to Apr- 3,
  2015 Apr- 6 to Apr-10,2.63
  2015 Apr- 6 to Apr-10,2.71
  2015 Apr- 6 to Apr-10,2.71
  2015 Apr- 6 to Apr-10,2.72
  2015 Apr- 6 to Apr-10,2.58
  2015 Apr-13 to Apr-17,2.58
  2015 Apr-13 to Apr-17,2.58
  2015 Apr-13 to Apr-17,2.62
  2015 Apr-13 to Apr-17,2.61
  2015 Apr-13 to Apr-17,2.67
  2015 Apr-20 to Apr-24,2.57
  2015 Apr-20 to Apr-24,2.59
  2015 Apr-20 to Apr-24,2.63
  2015 Apr-20 to Apr-24,2.59
  2015 Apr-20 to Apr-24,2.59
  2015 Apr-27 to May- 1,2.50
  2015 Apr-27 to May- 1,2.55
  2015 Apr-27 to May- 1,2.55
  2015 Apr-27 to May- 1,2.56
  2015 Apr-27 to May- 1,2.68
  2015 May- 4 to May- 8,2.72
  2015 May- 4 to May- 8,2.76
  2015 May- 4 to May- 8,2.76
  2015 May- 4 to May- 8,2.74
  2015 May- 4 to May- 8,2.78
  2015 May-11 to May-15,2.85
  2015 May-11 to May-15,2.85
  2015 May-11 to May-15,2.85
  2015 May-11 to May-15,2.87
  2015 May-11 to May-15,2.96
  2015 May-18 to May-22,3.01
  2015 May-18 to May-22,3.01
  2015 May-18 to May-22,3.04
  2015 May-18 to May-22,2.96
  2015 May-18 to May-22,2.96
  2015 May-25 to May-29,
  2015 May-25 to May-29,2.82
  2015 May-25 to May-29,2.82
  2015 May-25 to May-29,2.78
  2015 May-25 to May-29,2.78
  2015 Jun- 1 to Jun- 5,2.78
  2015 Jun- 1 to Jun- 5,2.63
  2015 Jun- 1 to Jun- 5,2.65
  2015 Jun- 1 to Jun- 5,2.60
  2015 Jun- 1 to Jun- 5,2.60
  2015 Jun- 8 to Jun-12,2.60
  2015 Jun- 8 to Jun-12,2.72
  2015 Jun- 8 to Jun-12,2.81
  2015 Jun- 8 to Jun-12,2.88
  2015 Jun- 8 to Jun-12,2.88
  2015 Jun-15 to Jun-19,2.89
  2015 Jun-15 to Jun-19,2.94
  2015 Jun-15 to Jun-19,2.93
  2015 Jun-15 to Jun-19,2.93
  2015 Jun-15 to Jun-19,2.81
  2015 Jun-22 to Jun-26,2.79
  2015 Jun-22 to Jun-26,2.83
  2015 Jun-22 to Jun-26,2.83
  2015 Jun-22 to Jun-26,2.80
  2015 Jun-22 to Jun-26,2.77
  2015 Jun-29 to Jul- 3,2.77
  2015 Jun-29 to Jul- 3,2.80
  2015 Jun-29 to Jul- 3,2.78
  2015 Jun-29 to Jul- 3,2.79
  2015 Jun-29 to Jul- 3,2.79
  2015 Jul- 6 to Jul-10,2.79
  2015 Jul- 6 to Jul-10,2.77
  2015 Jul- 6 to Jul-10,2.77
  2015 Jul- 6 to Jul-10,2.70
  2015 Jul- 6 to Jul-10,2.70
  2015 Jul-13 to Jul-17,2.88
  2015 Jul-13 to Jul-17,2.88
  2015 Jul-13 to Jul-17,2.93
  2015 Jul-13 to Jul-17,2.90
  2015 Jul-13 to Jul-17,2.88
  2015 Jul-20 to Jul-24,2.88
  2015 Jul-20 to Jul-24,2.84
  2015 Jul-20 to Jul-24,2.84
  2015 Jul-20 to Jul-24,2.92
  2015 Jul-20 to Jul-24,2.92
  2015 Jul-27 to Jul-31,2.92
  2015 Jul-27 to Jul-31,2.89
  2015 Jul-27 to Jul-31,2.91
  2015 Jul-27 to Jul-31,2.87
  2015 Jul-27 to Jul-31,2.76
  2015 Aug- 3 to Aug- 7,2.76
  2015 Aug- 3 to Aug- 7,2.83
  2015 Aug- 3 to Aug- 7,2.85
  2015 Aug- 3 to Aug- 7,2.76
  2015 Aug- 3 to Aug- 7,2.76
  2015 Aug-10 to Aug-14,2.85
  2015 Aug-10 to Aug-14,2.84
  2015 Aug-10 to Aug-14,2.93
  2015 Aug-10 to Aug-14,2.93
  2015 Aug-10 to Aug-14,2.83
  2015 Aug-17 to Aug-21,2.79
  2015 Aug-17 to Aug-21,2.71
  2015 Aug-17 to Aug-21,2.77
  2015 Aug-17 to Aug-21,2.77
  2015 Aug-17 to Aug-21,2.70
  2015 Aug-24 to Aug-28,2.65
  2015 Aug-24 to Aug-28,2.71
  2015 Aug-24 to Aug-28,2.73
  2015 Aug-24 to Aug-28,2.69
  2015 Aug-24 to Aug-28,2.69
  2015 Aug-31 to Sep- 4,2.70
  2015 Aug-31 to Sep- 4,2.70
  2015 Aug-31 to Sep- 4,2.70
  2015 Aug-31 to Sep- 4,2.67
  2015 Aug-31 to Sep- 4,2.67
  2015 Sep- 7 to Sep-11,2.67
  2015 Sep- 7 to Sep-11,2.74
  2015 Sep- 7 to Sep-11,2.74
  2015 Sep- 7 to Sep-11,2.71
  2015 Sep- 7 to Sep-11,2.67
  2015 Sep-14 to Sep-18,2.70
  2015 Sep-14 to Sep-18,2.74
  2015 Sep-14 to Sep-18,2.69
  2015 Sep-14 to Sep-18,2.69
  2015 Sep-14 to Sep-18,2.69
  2015 Sep-21 to Sep-25,2.61
  2015 Sep-21 to Sep-25,2.61
  2015 Sep-21 to Sep-25,2.62
  2015 Sep-21 to Sep-25,2.62
  2015 Sep-21 to Sep-25,2.60
  2015 Sep-28 to Oct- 2,2.66
  2015 Sep-28 to Oct- 2,2.57
  2015 Sep-28 to Oct- 2,2.47
  2015 Sep-28 to Oct- 2,2.37
  2015 Sep-28 to Oct- 2,2.37
  2015 Oct- 5 to Oct- 9,2.34
  2015 Oct- 5 to Oct- 9,2.35
  2015 Oct- 5 to Oct- 9,2.35
  2015 Oct- 5 to Oct- 9,2.35
  2015 Oct- 5 to Oct- 9,2.49
  2015 Oct-12 to Oct-16,2.48
  2015 Oct-12 to Oct-16,2.47
  2015 Oct-12 to Oct-16,2.47
  2015 Oct-12 to Oct-16,2.54
  2015 Oct-12 to Oct-16,2.42
  2015 Oct-19 to Oct-23,2.43
  2015 Oct-19 to Oct-23,2.46
  2015 Oct-19 to Oct-23,2.37
  2015 Oct-19 to Oct-23,2.37
  2015 Oct-19 to Oct-23,2.28
  2015 Oct-26 to Oct-30,2.18
  2015 Oct-26 to Oct-30,2.14
  2015 Oct-26 to Oct-30,2.14
  2015 Oct-26 to Oct-30,2.15
  2015 Oct-26 to Oct-30,1.98
  2015 Nov- 2 to Nov- 6,1.92
  2015 Nov- 2 to Nov- 6,1.92
  2015 Nov- 2 to Nov- 6,2.04
  2015 Nov- 2 to Nov- 6,2.04
  2015 Nov- 2 to Nov- 6,2.19
  2015 Nov- 9 to Nov-13,2.19
  2015 Nov- 9 to Nov-13,2.14
  2015 Nov- 9 to Nov-13,2.13
  2015 Nov- 9 to Nov-13,2.05
  2015 Nov- 9 to Nov-13,2.02
  2015 Nov-16 to Nov-20,2.02
  2015 Nov-16 to Nov-20,2.05
  2015 Nov-16 to Nov-20,2.10
  2015 Nov-16 to Nov-20,2.10
  2015 Nov-16 to Nov-20,2.18
  2015 Nov-23 to Nov-27,2.18
  2015 Nov-23 to Nov-27,2.14
  2015 Nov-23 to Nov-27,2.14
  2015 Nov-23 to Nov-27,2.14
  2015 Nov-23 to Nov-27,2.14
  2015 Nov-30 to Dec- 4,2.11
  2015 Nov-30 to Dec- 4,2.11
  2015 Nov-30 to Dec- 4,2.19
  2015 Nov-30 to Dec- 4,2.14
  2015 Nov-30 to Dec- 4,2.10
  2015 Dec- 7 to Dec-11,2.06
  2015 Dec- 7 to Dec-11,2.01
  2015 Dec- 7 to Dec-11,2.00
  2015 Dec- 7 to Dec-11,1.95
  2015 Dec- 7 to Dec-11,1.79
  2015 Dec-14 to Dec-18,1.70
  2015 Dec-14 to Dec-18,1.66
  2015 Dec-14 to Dec-18,1.70
  2015 Dec-14 to Dec-18,1.79
  2015 Dec-14 to Dec-18,1.74
  2015 Dec-21 to Dec-25,1.76
  2015 Dec-21 to Dec-25,1.73
  2015 Dec-21 to Dec-25,1.63
  2015 Dec-21 to Dec-25,1.63
  2015 Dec-21 to Dec-25,1.63
  2015 Dec-28 to Jan- 1,2.11
  2015 Dec-28 to Jan- 1,2.39
  2015 Dec-28 to Jan- 1,2.28
  2015 Dec-28 to Jan- 1,2.28
  2015 Dec-28 to Jan- 1,2.28
  2016 Jan- 4 to Jan- 8,2.39
  2016 Jan- 4 to Jan- 8,2.33
  2016 Jan- 4 to Jan- 8,2.37
  2016 Jan- 4 to Jan- 8,2.35
  2016 Jan- 4 to Jan- 8,2.47
  2016 Jan-11 to Jan-15,2.54
  2016 Jan-11 to Jan-15,2.40
  2016 Jan-11 to Jan-15,2.28
  2016 Jan-11 to Jan-15,2.21
  2016 Jan-11 to Jan-15,2.18
  2016 Jan-18 to Jan-22,2.18
  2016 Jan-18 to Jan-22,2.23
  2016 Jan-18 to Jan-22,2.18
  2016 Jan-18 to Jan-22,2.22
  2016 Jan-18 to Jan-22,2.21
  2016 Jan-25 to Jan-29,2.16
  2016 Jan-25 to Jan-29,2.26
  2016 Jan-25 to Jan-29,2.26
  2016 Jan-25 to Jan-29,2.15
  2016 Jan-25 to Jan-29,2.28
  2016 Feb- 1 to Feb- 5,2.28
  2016 Feb- 1 to Feb- 5,2.07
  2016 Feb- 1 to Feb- 5,2.06
  2016 Feb- 1 to Feb- 5,2.07
  2016 Feb- 1 to Feb- 5,2.08
  2016 Feb- 8 to Feb-12,2.23
  2016 Feb- 8 to Feb-12,2.17
  2016 Feb- 8 to Feb-12,2.16
  2016 Feb- 8 to Feb-12,2.15
  2016 Feb- 8 to Feb-12,2.08
  2016 Feb-15 to Feb-19,2.08
  2016 Feb-15 to Feb-19,1.95
  2016 Feb-15 to Feb-19,1.93
  2016 Feb-15 to Feb-19,1.89
  2016 Feb-15 to Feb-19,1.83
  2016 Feb-22 to Feb-26,1.86
  2016 Feb-22 to Feb-26,1.85
  2016 Feb-22 to Feb-26,1.85
  2016 Feb-22 to Feb-26,1.78
  2016 Feb-22 to Feb-26,1.78
  2016 Feb-29 to Mar- 4,1.62
  2016 Feb-29 to Mar- 4,1.57
  2016 Feb-29 to Mar- 4,1.60
  2016 Feb-29 to Mar- 4,1.59
  2016 Feb-29 to Mar- 4,1.49
  2016 Mar- 7 to Mar-11,1.56
  2016 Mar- 7 to Mar-11,1.60
  2016 Mar- 7 to Mar-11,1.61
  2016 Mar- 7 to Mar-11,1.72
  2016 Mar- 7 to Mar-11,1.74
  2016 Mar-14 to Mar-18,1.68
  2016 Mar-14 to Mar-18,1.81
  2016 Mar-14 to Mar-18,1.77
  2016 Mar-14 to Mar-18,1.84
  2016 Mar-14 to Mar-18,1.84
  2016 Mar-21 to Mar-25,1.79
  2016 Mar-21 to Mar-25,1.79
  2016 Mar-21 to Mar-25,1.79
  2016 Mar-21 to Mar-25,1.78
  2016 Mar-21 to Mar-25,1.78
  2016 Mar-28 to Apr- 1,1.78
  2016 Mar-28 to Apr- 1,1.77
  2016 Mar-28 to Apr- 1,1.87
  2016 Mar-28 to Apr- 1,1.98
  2016 Mar-28 to Apr- 1,1.88
  2016 Apr- 4 to Apr- 8,1.96
  2016 Apr- 4 to Apr- 8,1.96
  2016 Apr- 4 to Apr- 8,1.91
  2016 Apr- 4 to Apr- 8,1.96
  2016 Apr- 4 to Apr- 8,1.99
  2016 Apr-11 to Apr-15,1.90
  2016 Apr-11 to Apr-15,1.97
  2016 Apr-11 to Apr-15,2.01
  2016 Apr-11 to Apr-15,1.93
  2016 Apr-11 to Apr-15,1.71
  2016 Apr-18 to Apr-22,1.76
  2016 Apr-18 to Apr-22,1.94
  2016 Apr-18 to Apr-22,1.94
  2016 Apr-18 to Apr-22,1.96
  2016 Apr-18 to Apr-22,1.92
  2016 Apr-25 to Apr-29,1.97
  2016 Apr-25 to Apr-29,1.97
  2016 Apr-25 to Apr-29,1.88
  2016 Apr-25 to Apr-29,1.88
  2016 Apr-25 to Apr-29,1.89
  2016 May- 2 to May- 6,1.91
  2016 May- 2 to May- 6,1.94
  2016 May- 2 to May- 6,2.03
  2016 May- 2 to May- 6,2.05
  2016 May- 2 to May- 6,1.86
  2016 May- 9 to May-13,2.01
  2016 May- 9 to May-13,2.01
  2016 May- 9 to May-13,2.01
  2016 May- 9 to May-13,2.01
  2016 May- 9 to May-13,1.96
  2016 May-16 to May-20,1.91
  2016 May-16 to May-20,1.97
  2016 May-16 to May-20,1.91
  2016 May-16 to May-20,1.83
  2016 May-16 to May-20,1.81
  2016 May-23 to May-27,1.96
  2016 May-23 to May-27,1.91
  2016 May-23 to May-27,1.77
  2016 May-23 to May-27,1.77
  2016 May-23 to May-27,1.77
  2016 May-30 to Jun- 3,1.77
  2016 May-30 to Jun- 3,2.12
  2016 May-30 to Jun- 3,2.25
  2016 May-30 to Jun- 3,2.30
  2016 May-30 to Jun- 3,2.31
  2016 Jun- 6 to Jun-10,2.32
  2016 Jun- 6 to Jun-10,2.32
  2016 Jun- 6 to Jun-10,2.36
  2016 Jun- 6 to Jun-10,2.34
  2016 Jun- 6 to Jun-10,2.46
  2016 Jun-13 to Jun-17,2.55
  2016 Jun-13 to Jun-17,2.55
  2016 Jun-13 to Jun-17,2.62
  2016 Jun-13 to Jun-17,2.62
  2016 Jun-13 to Jun-17,2.59
  2016 Jun-20 to Jun-24,2.74
  2016 Jun-20 to Jun-24,2.79
  2016 Jun-20 to Jun-24,2.82
  2016 Jun-20 to Jun-24,2.69
  2016 Jun-20 to Jun-24,2.71
  2016 Jun-27 to Jul- 1,2.79
  2016 Jun-27 to Jul- 1,2.89
  2016 Jun-27 to Jul- 1,2.94
  2016 Jun-27 to Jul- 1,2.94
  2016 Jun-27 to Jul- 1,2.89
  2016 Jul- 4 to Jul- 8,2.89
  2016 Jul- 4 to Jul- 8,2.82
  2016 Jul- 4 to Jul- 8,2.82
  2016 Jul- 4 to Jul- 8,2.78
  2016 Jul- 4 to Jul- 8,2.80
  2016 Jul-11 to Jul-15,2.88
  2016 Jul-11 to Jul-15,2.88
  2016 Jul-11 to Jul-15,2.81
  2016 Jul-11 to Jul-15,2.79
  2016 Jul-11 to Jul-15,2.70
  2016 Jul-18 to Jul-22,2.83
  2016 Jul-18 to Jul-22,2.83
  2016 Jul-18 to Jul-22,2.76
  2016 Jul-18 to Jul-22,2.76
  2016 Jul-18 to Jul-22,2.80
  2016 Jul-25 to Jul-29,2.80
  2016 Jul-25 to Jul-29,2.84
  2016 Jul-25 to Jul-29,2.84
  2016 Jul-25 to Jul-29,2.79
  2016 Jul-25 to Jul-29,2.97
  2016 Aug- 1 to Aug- 5,2.97
  2016 Aug- 1 to Aug- 5,2.79
  2016 Aug- 1 to Aug- 5,2.89
  2016 Aug- 1 to Aug- 5,2.89
  2016 Aug- 1 to Aug- 5,2.88
  2016 Aug- 8 to Aug-12,2.85
  2016 Aug- 8 to Aug-12,2.85
  2016 Aug- 8 to Aug-12,2.76
  2016 Aug- 8 to Aug-12,2.70
  2016 Aug- 8 to Aug-12,2.70
  2016 Aug-15 to Aug-19,2.75
  2016 Aug-15 to Aug-19,2.75
  2016 Aug-15 to Aug-19,2.76
  2016 Aug-15 to Aug-19,2.75
  2016 Aug-15 to Aug-19,2.67
  2016 Aug-22 to Aug-26,2.75
  2016 Aug-22 to Aug-26,2.75
  2016 Aug-22 to Aug-26,2.82
  2016 Aug-22 to Aug-26,2.89
  2016 Aug-22 to Aug-26,2.91
  2016 Aug-29 to Sep- 2,2.97
  2016 Aug-29 to Sep- 2,2.95
  2016 Aug-29 to Sep- 2,2.95
  2016 Aug-29 to Sep- 2,2.95
  2016 Aug-29 to Sep- 2,2.88
  2016 Sep- 5 to Sep- 9,2.88
  2016 Sep- 5 to Sep- 9,2.88
  2016 Sep- 5 to Sep- 9,2.77
  2016 Sep- 5 to Sep- 9,2.88
  2016 Sep- 5 to Sep- 9,2.93
  2016 Sep-12 to Sep-16,3.04
  2016 Sep-12 to Sep-16,3.04
  2016 Sep-12 to Sep-16,3.07
  2016 Sep-12 to Sep-16,2.98
  2016 Sep-12 to Sep-16,2.97
  2016 Sep-19 to Sep-23,3.00
  2016 Sep-19 to Sep-23,3.12
  2016 Sep-19 to Sep-23,3.19
  2016 Sep-19 to Sep-23,3.18
  2016 Sep-19 to Sep-23,3.06
  2016 Sep-26 to Sep-30,3.06
  2016 Sep-26 to Sep-30,3.09
  2016 Sep-26 to Sep-30,3.07
  2016 Sep-26 to Sep-30,2.98
  2016 Sep-26 to Sep-30,2.84
  2016 Oct- 3 to Oct- 7,2.84
  2016 Oct- 3 to Oct- 7,2.83
  2016 Oct- 3 to Oct- 7,2.83
  2016 Oct- 3 to Oct- 7,3.04
  2016 Oct- 3 to Oct- 7,3.02
  2016 Oct-10 to Oct-14,3.18
  2016 Oct-10 to Oct-14,3.17
  2016 Oct-10 to Oct-14,3.17
  2016 Oct-10 to Oct-14,3.16
  2016 Oct-10 to Oct-14,3.18
  2016 Oct-17 to Oct-21,3.21
  2016 Oct-17 to Oct-21,3.25
  2016 Oct-17 to Oct-21,3.18
  2016 Oct-17 to Oct-21,3.12
  2016 Oct-17 to Oct-21,2.92
  2016 Oct-24 to Oct-28,2.78
  2016 Oct-24 to Oct-28,2.69
  2016 Oct-24 to Oct-28,2.69
  2016 Oct-24 to Oct-28,2.72
  2016 Oct-24 to Oct-28,2.72
  2016 Oct-31 to Nov- 4,2.85
  2016 Oct-31 to Nov- 4,2.53
  2016 Oct-31 to Nov- 4,2.53
  2016 Oct-31 to Nov- 4,2.41
  2016 Oct-31 to Nov- 4,2.20
